,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,103,0.92,1,1,2,0,6,21,0,6,1,36,1.0
1,40,0.7759999999999999,1,0,2,0,6,15,6,5,5,47,0.0
2,162,0.767,1,1,2,2,6,21,6,1,4,8,0.0
3,160,0.92,1,1,2,1,4,5,6,1,1,24,0.0
4,46,0.762,1,1,2,0,6,13,1,5,5,18,1.0
5,103,0.92,1,1,2,0,6,7,6,5,1,46,1.0
6,103,0.92,1,1,2,0,6,5,8,5,1,108,0.0
7,61,0.913,1,1,2,0,6,21,4,5,3,23,0.0
8,114,0.926,1,1,2,0,6,16,2,5,5,18,0.0
9,13,0.8270000000000001,0,1,2,0,0,4,0,6,1,132,1.0
10,159,0.843,1,1,2,2,6,11,3,5,1,68,0.0
11,114,0.926,1,1,2,2,6,11,3,5,2,50,0.0
12,40,0.7759999999999999,1,1,2,0,2,0,4,5,1,65,0.0
13,103,0.92,1,1,2,0,0,5,0,6,2,72,0.0
14,100,0.887,1,1,2,1,4,11,1,5,1,8,1.0
15,21,0.624,1,1,2,0,6,18,6,1,2,68,1.0
16,103,0.92,1,1,2,0,6,21,3,5,3,40,0.0
17,103,0.92,1,1,1,0,6,19,8,5,5,141,0.0
18,103,0.92,0,0,0,0,6,5,0,6,1,24,0.0
19,160,0.92,0,1,2,0,6,21,3,5,5,82,0.0
20,16,0.91,1,1,2,0,1,12,8,5,3,145,0.0
21,103,0.92,1,1,2,0,6,10,2,0,2,206,0.0
22,114,0.926,1,0,1,1,4,1,5,3,1,152,0.0
23,114,0.926,1,1,2,3,6,21,3,5,4,42,1.0
24,114,0.926,0,1,0,2,6,16,4,4,2,14,0.0
25,104,0.924,1,1,2,1,4,4,2,5,2,36,0.0
26,21,0.624,1,1,1,2,6,9,8,5,3,7,1.0
27,21,0.624,0,0,0,2,6,5,0,6,0,26,1.0
28,21,0.624,1,1,2,0,6,5,3,5,0,87,1.0
29,103,0.92,2,1,2,0,6,19,5,4,4,52,1.0
30,101,0.5579999999999999,1,1,2,0,3,15,0,6,5,20,1.0
31,83,0.923,1,1,2,0,6,11,2,5,1,21,0.0
32,101,0.5579999999999999,1,0,2,0,6,4,0,6,1,92,1.0
33,64,0.6659999999999999,1,1,2,0,6,10,3,5,2,102,0.0
34,105,0.794,1,0,2,0,2,5,5,5,5,26,0.0
35,114,0.926,1,0,0,1,4,4,5,5,1,43,0.0
36,104,0.924,1,1,2,0,6,21,3,5,1,45,0.0
37,73,0.754,1,1,0,0,6,2,6,0,2,52,0.0
38,103,0.92,1,1,2,0,6,21,0,6,2,19,0.0
39,162,0.767,1,1,2,0,2,21,3,5,5,26,1.0
40,67,0.855,1,1,1,0,6,6,0,6,1,90,0.0
41,75,0.939,1,1,2,0,6,6,3,5,3,25,0.0
42,100,0.887,1,1,2,2,2,21,3,5,5,48,0.0
43,93,0.865,1,1,2,0,6,10,6,5,2,142,1.0
44,67,0.855,2,0,2,2,2,4,5,5,4,13,0.0
45,16,0.91,1,1,2,0,6,15,0,6,5,47,0.0
46,16,0.91,0,1,2,2,2,14,7,4,1,28,0.0
47,64,0.6659999999999999,1,1,2,0,6,21,0,6,4,22,0.0
48,21,0.624,1,0,0,0,6,0,0,6,0,18,1.0
49,13,0.8270000000000001,1,1,2,0,6,2,2,5,1,29,0.0
50,67,0.855,1,1,2,2,6,5,3,6,1,46,0.0
51,36,0.893,1,1,2,2,6,5,6,5,2,65,0.0
52,103,0.92,1,0,2,0,2,3,3,5,1,35,0.0
53,67,0.855,1,0,0,0,6,9,5,5,3,14,0.0
54,103,0.92,0,1,2,2,6,2,1,0,1,4,0.0
55,103,0.92,1,1,2,0,6,15,6,5,5,12,0.0
56,160,0.92,1,1,2,0,6,21,6,5,2,108,0.0
57,103,0.92,1,0,2,0,6,21,0,6,1,136,0.0
58,103,0.92,1,1,2,0,6,5,2,6,1,27,0.0
59,71,0.884,1,1,2,0,6,15,2,0,1,86,0.0
60,57,0.866,0,0,1,0,6,0,2,5,2,83,0.0
61,152,0.698,1,0,0,2,6,11,0,4,2,42,0.0
62,103,0.92,0,1,2,0,6,6,3,6,1,332,0.0
63,16,0.91,1,0,2,1,4,3,0,6,0,182,0.0
64,103,0.92,0,0,2,0,2,3,3,5,1,13,1.0
65,65,0.802,1,1,0,0,6,9,6,5,1,33,0.0
66,65,0.802,1,1,2,0,6,6,6,5,2,14,1.0
67,11,0.55,1,1,2,0,6,6,2,5,2,27,1.0
68,11,0.55,1,1,2,0,6,8,3,5,1,24,1.0
69,103,0.92,0,1,2,0,6,11,7,2,5,20,0.0
70,16,0.91,1,1,2,0,6,12,8,5,1,52,0.0
71,75,0.939,1,1,2,0,6,21,6,5,2,160,0.0
72,136,0.897,1,1,2,2,6,9,8,5,2,3,0.0
73,21,0.624,1,1,2,0,6,2,1,5,2,2,1.0
74,16,0.91,1,1,2,0,6,21,4,5,5,28,0.0
75,73,0.754,1,1,2,0,5,21,0,6,4,46,0.0
76,67,0.855,1,1,2,0,6,8,6,5,1,210,0.0
77,114,0.926,1,1,2,0,6,10,1,5,1,36,0.0
78,98,0.949,1,0,0,0,6,4,0,6,1,160,1.0
79,21,0.624,1,1,0,0,6,2,2,2,2,101,0.0
80,114,0.926,1,1,2,2,6,6,6,6,1,46,0.0
81,97,0.925,1,1,2,0,6,21,4,5,5,19,0.0
82,21,0.624,1,1,2,0,6,3,3,5,2,26,1.0
83,50,0.8959999999999999,1,1,2,0,6,9,1,5,4,59,0.0
84,160,0.92,1,1,1,0,1,10,6,1,1,260,0.0
85,21,0.624,0,1,2,0,6,11,6,5,5,74,0.0
86,16,0.91,1,1,2,3,6,21,3,5,2,20,1.0
87,173,0.878,1,1,2,0,6,12,3,5,2,8,0.0
88,103,0.92,1,1,2,0,6,6,3,5,1,131,0.0
89,138,0.836,1,1,0,2,6,7,0,6,1,45,0.0
90,82,0.693,1,1,0,0,6,11,2,5,2,109,0.0
91,67,0.855,1,1,2,0,2,3,3,5,1,70,0.0
92,103,0.92,0,1,2,0,6,21,3,2,5,17,0.0
93,103,0.92,0,0,2,2,6,15,6,5,1,51,0.0
94,103,0.92,0,1,2,0,6,6,6,5,3,60,1.0
95,114,0.926,1,0,2,0,6,12,3,5,5,7,0.0
96,64,0.6659999999999999,1,1,2,0,6,20,0,6,4,290,0.0
97,102,0.804,1,0,2,1,4,2,1,2,0,145,0.0
98,103,0.92,1,0,2,2,2,3,5,5,1,133,1.0
99,103,0.92,1,1,2,0,6,10,1,1,1,76,0.0
100,90,0.698,0,0,0,2,6,5,0,6,4,21,1.0
101,21,0.624,0,1,2,0,5,8,8,5,2,34,0.0
102,160,0.92,1,0,2,0,6,9,1,5,2,15,0.0
103,57,0.866,1,0,2,0,6,21,0,6,5,156,0.0
104,103,0.92,1,1,2,0,6,21,8,5,5,15,0.0
105,73,0.754,1,1,2,0,6,12,0,6,2,100,1.0
106,67,0.855,1,1,1,0,6,6,7,5,0,102,0.0
107,103,0.92,1,0,2,1,4,4,0,6,0,52,0.0
108,103,0.92,1,1,0,1,4,4,0,6,1,112,1.0
109,103,0.92,1,0,2,3,6,21,6,5,5,14,0.0
110,21,0.624,1,1,2,0,6,6,5,5,4,49,1.0
111,16,0.91,1,1,2,0,6,15,0,6,5,72,0.0
112,89,0.925,1,1,0,0,6,14,8,5,3,141,1.0
113,114,0.926,1,0,2,1,4,6,0,5,0,28,0.0
114,103,0.92,1,1,2,0,6,13,5,5,1,6,0.0
115,103,0.92,1,1,2,0,3,17,8,5,1,125,0.0
116,103,0.92,1,1,2,0,5,21,3,5,2,33,0.0
117,103,0.92,0,1,2,2,6,15,5,5,5,55,0.0
118,150,0.698,1,0,2,0,6,21,7,5,5,32,0.0
119,103,0.92,1,1,2,0,0,21,3,5,5,11,0.0
120,73,0.754,1,1,2,0,6,21,1,5,1,41,0.0
121,103,0.92,1,1,2,2,6,21,5,4,5,87,1.0
122,67,0.855,1,1,2,2,6,10,3,5,4,114,0.0
123,90,0.698,1,1,1,2,6,5,1,0,1,15,0.0
124,173,0.878,0,1,1,1,4,2,3,2,1,22,0.0
125,103,0.92,1,1,2,2,6,21,8,5,4,13,0.0
126,98,0.949,1,1,2,0,6,21,1,4,1,246,0.0
127,103,0.92,1,1,2,2,6,9,2,5,1,22,0.0
128,103,0.92,1,1,2,2,6,21,1,1,1,81,0.0
129,103,0.92,1,1,2,0,6,21,3,1,1,50,0.0
130,104,0.924,1,0,0,1,4,6,0,6,0,15,0.0
131,28,0.939,1,1,2,2,6,21,2,5,5,31,0.0
132,114,0.926,1,1,2,2,6,21,6,5,0,84,0.0
133,136,0.897,1,1,1,0,6,4,5,5,1,42,0.0
134,103,0.92,0,1,2,0,6,21,6,5,5,72,0.0
135,115,0.789,1,1,2,0,6,14,2,5,5,42,1.0
136,94,0.698,1,1,2,0,6,15,6,0,1,152,0.0
137,103,0.92,1,1,2,0,6,12,5,5,1,60,0.0
138,21,0.624,1,0,0,2,6,2,0,6,0,8,0.0
139,16,0.91,1,0,0,2,6,13,0,6,3,17,1.0
140,83,0.923,1,0,2,1,4,1,0,6,1,33,0.0
141,16,0.91,1,1,2,2,6,4,3,1,0,38,0.0
142,103,0.92,1,1,2,0,2,14,1,0,2,178,0.0
143,160,0.92,1,1,2,0,6,15,6,5,1,11,0.0
144,36,0.893,1,1,2,1,4,21,0,6,0,87,0.0
145,65,0.802,1,1,2,0,6,13,0,6,0,84,0.0
146,71,0.884,1,1,2,0,6,21,3,0,2,32,0.0
147,21,0.624,1,0,2,0,6,2,7,4,1,39,0.0
148,165,0.903,1,1,2,0,6,3,3,5,1,55,1.0
149,103,0.92,1,1,2,2,2,2,6,0,1,104,0.0
150,103,0.92,1,1,2,2,5,21,3,5,5,8,0.0
151,21,0.624,1,0,0,0,6,2,0,6,0,102,0.0
152,21,0.624,1,0,0,0,6,3,0,5,0,42,0.0
153,21,0.624,1,1,2,2,6,3,6,1,1,88,0.0
154,103,0.92,1,1,2,2,6,21,5,5,1,7,0.0
155,16,0.91,1,1,2,0,6,21,5,5,5,62,0.0
156,103,0.92,1,1,2,0,6,6,6,5,1,83,0.0
157,28,0.939,1,1,2,0,6,9,4,5,5,11,0.0
158,114,0.926,1,0,1,3,6,21,6,6,5,10,0.0
159,28,0.939,1,1,2,2,6,10,4,5,1,114,0.0
160,16,0.91,1,0,0,0,6,2,0,6,0,80,1.0
